Datetime,Open,High,Low,Close,Volume
2022-01-03 04:45:00,46928.73000000,46935.85000000,46800.00000000,46822.26000000,139.08731000
2022-01-03 05:00:00,46822.26000000,46884.69000000,46750.13000000,46770.46000000,204.10872000
2022-01-03 05:15:00,46770.46000000,47027.84000000,46770.09000000,46965.38000000,244.70845000
2022-01-03 05:30:00,46965.38000000,47211.09000000,46960.48000000,47149.09000000,350.06660000
2022-01-03 05:45:00,47149.09000000,47178.82000000,47035.24000000,47078.64000000,119.73796000
2022-01-03 06:00:00,47078.64000000,47100.00000000,47017.20000000,47017.21000000,140.88882000
2022-01-03 06:15:00,47017.22000000,47048.00000000,46946.22000000,46968.17000000,133.34102000
2022-01-03 06:30:00,46968.16000000,47061.37000000,46930.86000000,47049.21000000,169.03983000
2022-01-03 06:45:00,47049.22000000,47055.37000000,46877.84000000,46923.75000000,153.36102000
2022-01-03 07:00:00,46923.75000000,46937.97000000,46852.38000000,46928.09000000,167.39998000
2022-01-03 07:15:00,46934.20000000,46967.95000000,46888.08000000,46957.80000000,127.61840000
2022-01-03 07:30:00,46957.81000000,47021.84000000,46951.29000000,46989.30000000,153.65956000
2022-01-03 07:45:00,46989.30000000,47080.00000000,46956.68000000,47051.37000000,186.54792000
2022-01-03 08:00:00,47051.36000000,47135.97000000,47018.00000000,47060.01000000,247.92114000
2022-01-03 08:15:00,47060.00000000,47062.70000000,46983.55000000,46994.37000000,171.60948000
2022-01-03 08:30:00,46994.38000000,47026.21000000,46936.43000000,46956.94000000,131.03690000
2022-01-03 08:45:00,46956.93000000,46999.80000000,46922.27000000,46978.82000000,134.07362000
2022-01-03 09:00:00,46978.81000000,47109.25000000,46963.85000000,46966.86000000,198.24751000
2022-01-03 09:15:00,46964.02000000,46973.07000000,46787.00000000,46820.00000000,319.14890000
2022-01-03 09:30:00,46819.66000000,46910.26000000,46778.00000000,46884.99000000,208.43622000
2022-01-03 09:45:00,46884.99000000,47000.00000000,46870.00000000,46984.55000000,261.23854000
2022-01-03 10:00:00,46984.56000000,47251.19000000,46981.84000000,47191.06000000,447.38493000
2022-01-03 10:15:00,47191.06000000,47213.19000000,47065.51000000,47080.98000000,305.73939000
2022-01-03 10:30:00,47080.99000000,47199.99000000,47031.00000000,47169.49000000,152.91012000
2022-01-03 10:45:00,47169.49000000,47238.80000000,47110.05000000,47126.02000000,232.95488000
2022-01-03 11:00:00,47126.02000000,47345.00000000,47125.48000000,47335.01000000,734.62881000
2022-01-03 11:15:00,47335.01000000,47392.99000000,47270.00000000,47336.37000000,304.71082000
2022-01-03 11:30:00,47336.38000000,47349.38000000,47237.76000000,47289.29000000,174.93074000
2022-01-03 11:45:00,47289.29000000,47431.67000000,47259.55000000,47378.00000000,237.41873000
2022-01-03 12:00:00,47378.00000000,47549.88000000,47243.84000000,47486.01000000,459.80341000
2022-01-03 12:15:00,47486.01000000,47570.00000000,47325.73000000,47394.16000000,317.77927000
2022-01-03 12:30:00,47394.17000000,47400.61000000,47223.84000000,47279.11000000,208.29880000
2022-01-03 12:45:00,47279.11000000,47305.31000000,47175.01000000,47194.39000000,197.75397000
2022-01-03 13:00:00,47194.39000000,47495.96000000,47192.80000000,47242.89000000,270.88274000
2022-01-03 13:15:00,47242.89000000,47370.08000000,47242.88000000,47304.97000000,168.89468000
2022-01-03 13:30:00,47304.97000000,47329.77000000,47209.10000000,47249.29000000,173.13220000
2022-01-03 13:45:00,47244.82000000,47275.68000000,47127.51000000,47153.50000000,200.92821000
2022-01-03 14:00:00,47153.50000000,47278.50000000,46940.00000000,47026.98000000,477.63524000
2022-01-03 14:15:00,47026.98000000,47107.18000000,46964.03000000,47083.72000000,212.47098000
2022-01-03 14:30:00,47083.72000000,47285.39000000,47081.87000000,47156.19000000,232.88163000
2022-01-03 14:45:00,47156.20000000,47172.56000000,46765.00000000,46874.53000000,788.44215000
2022-01-03 15:00:00,46874.53000000,46989.48000000,46780.65000000,46977.51000000,403.43537000
2022-01-03 15:15:00,46977.51000000,47018.00000000,46833.96000000,46939.37000000,255.56084000
2022-01-03 15:30:00,46939.37000000,46944.32000000,46838.32000000,46895.98000000,177.02701000
2022-01-03 15:45:00,46895.99000000,46958.83000000,46575.25000000,46693.45000000,918.79401000
2022-01-03 16:00:00,46693.44000000,46780.00000000,46570.00000000,46625.78000000,588.42963000
2022-01-03 16:15:00,46625.77000000,46640.05000000,46263.29000000,46383.05000000,1963.85739000
2022-01-03 16:30:00,46385.82000000,46529.43000000,46287.93000000,46429.99000000,545.74699000
2022-01-03 16:45:00,46429.98000000,46498.56000000,46310.62000000,46482.34000000,317.71901000
2022-01-03 17:00:00,46482.34000000,46636.83000000,46425.84000000,46437.62000000,340.11022000
2022-01-03 17:15:00,46437.62000000,46788.80000000,46411.78000000,46696.39000000,330.91624000
2022-01-03 17:30:00,46696.40000000,46790.00000000,46563.29000000,46587.35000000,296.52730000
2022-01-03 17:45:00,46587.34000000,46700.00000000,46575.63000000,46577.15000000,154.19851000
2022-01-03 18:00:00,46577.16000000,46740.96000000,46541.65000000,46610.51000000,189.93037000
2022-01-03 18:15:00,46610.51000000,46684.26000000,46580.00000000,46617.41000000,152.09208000
2022-01-03 18:30:00,46617.42000000,46649.91000000,46456.01000000,46465.36000000,125.08997000
2022-01-03 18:45:00,46465.37000000,46526.52000000,46412.99000000,46472.73000000,195.13758000
2022-01-03 19:00:00,46475.60000000,46556.24000000,46361.21000000,46495.90000000,214.90490000
2022-01-03 19:15:00,46495.90000000,46644.20000000,46462.27000000,46612.05000000,137.51126000
2022-01-03 19:30:00,46612.04000000,46645.34000000,46552.69000000,46586.41000000,90.20660000
2022-01-03 19:45:00,46586.42000000,46618.95000000,46360.00000000,46360.01000000,219.08384000
2022-01-03 20:00:00,46360.01000000,46413.47000000,46200.00000000,46295.34000000,458.70926000
2022-01-03 20:15:00,46295.33000000,46337.00000000,45730.58000000,45781.20000000,1742.60076000
2022-01-03 20:30:00,45781.19000000,45969.53000000,45696.00000000,45788.42000000,621.06884000
2022-01-03 20:45:00,45788.42000000,45970.27000000,45784.70000000,45922.00000000,305.12495000
2022-01-03 21:00:00,45922.01000000,46012.13000000,45818.89000000,45820.01000000,266.23755000
2022-01-03 21:15:00,45820.02000000,46059.94000000,45811.87000000,46023.51000000,230.72296000
2022-01-03 21:30:00,46023.51000000,46260.44000000,46018.29000000,46046.94000000,314.64670000
2022-01-03 21:45:00,46046.95000000,46150.91000000,45962.28000000,45979.01000000,244.06026000
2022-01-03 22:00:00,45979.01000000,46158.37000000,45961.59000000,46113.93000000,197.56683000
2022-01-03 22:15:00,46113.94000000,46318.41000000,46068.37000000,46266.14000000,252.43230000
2022-01-03 22:30:00,46266.14000000,46439.97000000,46151.65000000,46245.01000000,273.40197000
2022-01-03 22:45:00,46245.01000000,46298.23000000,46110.00000000,46217.90000000,279.29939000
2022-01-03 23:00:00,46217.91000000,46454.01000000,46170.64000000,46376.01000000,413.88926000
2022-01-03 23:15:00,46378.50000000,46474.63000000,46336.24000000,46410.00000000,188.07266000
2022-01-03 23:30:00,46409.99000000,46576.94000000,46365.87000000,46522.16000000,280.13915000
2022-01-03 23:45:00,46522.16000000,46553.77000000,46407.44000000,46446.10000000,173.23468000
2022-01-04 00:00:00,46446.10000000,46527.30000000,46340.02000000,46408.47000000,274.11710000
2022-01-04 00:15:00,46408.47000000,46549.19000000,46232.04000000,46484.81000000,371.62254000
2022-01-04 00:30:00,46484.81000000,46499.94000000,46268.04000000,46276.97000000,164.38091000
2022-01-04 00:45:00,46276.98000000,46334.87000000,46150.00000000,46244.37000000,245.63280000
2022-01-04 01:00:00,46244.37000000,46293.00000000,46152.97000000,46292.45000000,221.04363000
2022-01-04 01:15:00,46292.46000000,46404.94000000,46253.97000000,46341.56000000,223.14322000
